DATETIME;BLOCK-ID;PRICE [e/MWh]
01.01.2014 0:00;2014-1-1-2;28,07
01.01.2014 1:00;2014-1-1-2;28,67
01.01.2014 2:00;2014-1-1-2;28,08
01.01.2014 3:00;2014-1-1-2;27,38
01.01.2014 4:00;2014-1-1-6;26,21
01.01.2014 5:00;2014-1-1-6;25,98
01.01.2014 6:00;2014-1-1-6;26,38
01.01.2014 7:00;2014-1-1-6;26,76
01.01.2014 8:00;2014-1-1-10;27,14
01.01.2014 9:00;2014-1-1-10;26,97
01.01.2014 10:00;2014-1-1-10;26,54
01.01.2014 11:00;2014-1-1-10;27,59
01.01.2014 12:00;2014-1-1-14;28,43
01.01.2014 13:00;2014-1-1-14;28,68
01.01.2014 14:00;2014-1-1-14;28,82
01.01.2014 15:00;2014-1-1-14;29,06
01.01.2014 16:00;2014-1-1-18;29,51
01.01.2014 17:00;2014-1-1-18;32,38
01.01.2014 18:00;2014-1-1-18;33,26
01.01.2014 19:00;2014-1-1-18;33,97
01.01.2014 20:00;2014-1-1-22;31,16
01.01.2014 21:00;2014-1-1-22;29,34
01.01.2014 22:00;2014-1-1-22;30,37
01.01.2014 23:00;2014-1-1-22;28,72
02.01.2014 0:00;2014-1-2-2;27,84
02.01.2014 1:00;2014-1-2-2;27,9
02.01.2014 2:00;2014-1-2-2;26,94
02.01.2014 3:00;2014-1-2-2;26,37
02.01.2014 4:00;2014-1-2-6;26,56
02.01.2014 5:00;2014-1-2-6;27,15
02.01.2014 6:00;2014-1-2-6;29,08
02.01.2014 7:00;2014-1-2-6;39,48
02.01.2014 8:00;2014-1-2-10;39,25
02.01.2014 9:00;2014-1-2-10;36,5
02.01.2014 10:00;2014-1-2-10;35,3
02.01.2014 11:00;2014-1-2-10;34,62
02.01.2014 12:00;2014-1-2-14;35,28
02.01.2014 13:00;2014-1-2-14;35,13
02.01.2014 14:00;2014-1-2-14;35,8
02.01.2014 15:00;2014-1-2-14;40,08
02.01.2014 16:00;2014-1-2-18;45
02.01.2014 17:00;2014-1-2-18;44,59
02.01.2014 18:00;2014-1-2-18;42,37
02.01.2014 19:00;2014-1-2-18;41,9
02.01.2014 20:00;2014-1-2-22;42,79
02.01.2014 21:00;2014-1-2-22;33,08
02.01.2014 22:00;2014-1-2-22;33,05
02.01.2014 23:00;2014-1-2-22;30,42
03.01.2014 0:00;2014-1-3-2;29,91
03.01.2014 1:00;2014-1-3-2;28,08
03.01.2014 2:00;2014-1-3-2;26,24
03.01.2014 3:00;2014-1-3-2;24,78
03.01.2014 4:00;2014-1-3-6;25,14
03.01.2014 5:00;2014-1-3-6;26,04
03.01.2014 6:00;2014-1-3-6;27,77
03.01.2014 7:00;2014-1-3-6;35,01
03.01.2014 8:00;2014-1-3-10;40,2
03.01.2014 9:00;2014-1-3-10;43,47
03.01.2014 10:00;2014-1-3-10;40,96
03.01.2014 11:00;2014-1-3-10;39,12
03.01.2014 12:00;2014-1-3-14;38,8
03.01.2014 13:00;2014-1-3-14;38,55
03.01.2014 14:00;2014-1-3-14;37,95
03.01.2014 15:00;2014-1-3-14;43,41
03.01.2014 16:00;2014-1-3-18;50,23
03.01.2014 17:00;2014-1-3-18;48,77
03.01.2014 18:00;2014-1-3-18;48,07
03.01.2014 19:00;2014-1-3-18;44,43
03.01.2014 20:00;2014-1-3-22;36,92
03.01.2014 21:00;2014-1-3-22;33,41
03.01.2014 22:00;2014-1-3-22;34,39
03.01.2014 23:00;2014-1-3-22;30,38
04.01.2014 0:00;2014-1-4-2;27,66
04.01.2014 1:00;2014-1-4-2;26,67
04.01.2014 2:00;2014-1-4-2;25,34
04.01.2014 3:00;2014-1-4-2;23,95
04.01.2014 4:00;2014-1-4-6;23,45
04.01.2014 5:00;2014-1-4-6;24,25
04.01.2014 6:00;2014-1-4-6;25,63
04.01.2014 7:00;2014-1-4-6;26,69
04.01.2014 8:00;2014-1-4-10;27,58
04.01.2014 9:00;2014-1-4-10;30,34
04.01.2014 10:00;2014-1-4-10;30,31
04.01.2014 11:00;2014-1-4-10;30,31
04.01.2014 12:00;2014-1-4-14;30,35
04.01.2014 13:00;2014-1-4-14;30,38
04.01.2014 14:00;2014-1-4-14;32,37
04.01.2014 15:00;2014-1-4-14;34,35
04.01.2014 16:00;2014-1-4-18;36,93
04.01.2014 17:00;2014-1-4-18;45,49
04.01.2014 18:00;2014-1-4-18;45,83
04.01.2014 19:00;2014-1-4-18;38,04
04.01.2014 20:00;2014-1-4-22;34,58
04.01.2014 21:00;2014-1-4-22;32,25
04.01.2014 22:00;2014-1-4-22;34,55
04.01.2014 23:00;2014-1-4-22;32,19
05.01.2014 0:00;2014-1-5-2;27,6
05.01.2014 1:00;2014-1-5-2;27,82
05.01.2014 2:00;2014-1-5-2;27,21
05.01.2014 3:00;2014-1-5-2;26,95
05.01.2014 4:00;2014-1-5-6;26,62
05.01.2014 5:00;2014-1-5-6;26,73
05.01.2014 6:00;2014-1-5-6;27,1
05.01.2014 7:00;2014-1-5-6;27,72
05.01.2014 8:00;2014-1-5-10;28,03
05.01.2014 9:00;2014-1-5-10;28,15
05.01.2014 10:00;2014-1-5-10;28,54
05.01.2014 11:00;2014-1-5-10;30,14
05.01.2014 12:00;2014-1-5-14;30,96
