DATETIME;BLOCKID;KIS_NA_39;VII_57;MX_48;MX_56;KIS_NA_42;VII_54;MX_S_48;MX_S_52;MX_52;KIS_NA_45;KIS_NA_51;MIP_45;MIP_49;MIP_52;MIP_plus_48;MIP_plus_51;MX_42;MX_45;MIP_G_42;KIS_42;KIS_NA_48;Price [e/MWh]
29.09.2016 10:00;2016-9-29-10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,38
29.09.2016 14:00;2016-9-29-14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,69
29.09.2016 18:00;2016-9-29-18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,39
29.09.2016 22:00;2016-9-29-22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,09
30.09.2016 2:00;2016-9-30-2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,09
30.09.2016 6:00;2016-9-30-6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;22,05
30.09.2016 10:00;2016-9-30-10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;38,99
30.09.2016 14:00;2016-9-30-14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;36,22
30.09.2016 18:00;2016-9-30-18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,89
30.09.2016 22:00;2016-9-30-22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,89
01.10.2016 2:00;2016-10-1-2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,38
01.10.2016 6:00;2016-10-1-6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,65
01.10.2016 10:00;2016-10-1-10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,66
01.10.2016 14:00;2016-10-1-14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,05
01.10.2016 18:00;2016-10-1-18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;34,59
01.10.2016 22:00;2016-10-1-22;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;34,41
02.10.2016 2:00;2016-10-2-2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;26,41
02.10.2016 6:00;2016-10-2-6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25,06
02.10.2016 10:00;2016-10-2-10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29,59
02.10.2016 14:00;2016-10-2-14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30,25
02.10.2016 18:00;2016-10-2-18;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,33
02.10.2016 22:00;2016-10-2-22;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;36,59
03.10.2016 2:00;2016-10-3-2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;25,56
03.10.2016 6:00;2016-10-3-6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;31,1
03.10.2016 10:00;2016-10-3-10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;56,15
03.10.2016 14:00;2016-10-3-14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;54,52
03.10.2016 18:00;2016-10-3-18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;42,68
03.10.2016 22:00;2016-10-3-22;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;34,24
04.10.2016 2:00;2016-10-4-2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;25,08
04.10.2016 6:00;2016-10-4-6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;27,89
04.10.2016 10:00;2016-10-4-10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;50,98
